set MAGAZYNY := M1 M2 M3;
set SKLEPY := S1 S2 S3 S4 S5 S6 S7 S8 S9 S10;
set PRODUKTY := Ziemniaki Kapusta Buraki Marchew;

param pojemnosc_magazyn_max :=
  M1 800
  M2 1200
  M3 750;

param pojemnosc_sklep_max :=
  S1 8.5
  S2 7.5
  S3 8
  S4 7
  S5 9.6
  S6 8.3
  S7 7.4
  S8 8.2
  S9 8.7
  S10 7.8;
  
param cena_za_1km_1ton := 5;

param odleglosc_ms: S1 S2 S3 S4 S5 S6 S7 S8 S9 S10 :=
  M1 18.636 17.847 18.139 19.296 29.798 19.146 31.117 16.612 28.66 20.897
  M2 17.998 20.469 18.023 18.307 22.082 13.44 22.015 13.535 41.83 34.067
  M3 20.413 25.183 22.229 20.724 14.703 20.169 14.912 21.81 11.183 19.187;

param zapotrzebowanie_sklepy :=
[*,*,S1] : Ziemniaki Kapusta Buraki Marchew :=
  1  1.22 0.77 0.89 0.49
  2  1.14 0.61 0.72 0.53
  3  1.31 0.72 0.71 0.55
  4  1.39 0.62 0.75 0.43
  5  1.19 0.68 0.82 0.45
  6  1.31 0.60 0.78 0.46
  7  1.25 0.73 0.76 0.48
  8  1.30 0.58 0.86 0.43
  9  1.10 0.77 0.95 0.52
  10  1.33 0.82 1.04 0.69
  11  1.25 0.93 0.84 0.79
  12  1.31 0.97 0.93 0.71
  13  1.43 0.84 1.12 0.76
  14  1.59 1.04 1.01 0.79
  15  1.23 0.84 0.85 0.67
  16  1.36 0.86 1.08 0.67
  17  1.32 0.94 0.88 0.77
  18  1.23 1.06 1.06 0.64
  19  1.20 1.02 1.04 0.75
  20  1.52 0.81 0.94 0.62
  21  1.56 0.96 0.93 0.61
  22  1.33 0.88 1.05 0.73
  23  1.26 0.59 0.78 0.54
  24  1.21 0.60 0.96 0.51
  25  1.13 0.58 0.76 0.45
  26  0.97 0.61 0.83 0.51
  27  1.26 0.55 0.86 0.55
  28  1.04 0.52 0.83 0.46
  29  1.27 0.65 0.92 0.57
  30  1.23 0.54 0.99 0.52
  31  1.23 0.66 0.84 0.45
  32  1.03 0.58 0.97 0.57
  33  0.96 0.59 0.86 0.47
  34  1.00 0.56 1.00 0.48
  35  1.13 0.63 0.85 0.58
  36  1.76 0.78 1.18 0.60
  37  1.45 0.73 1.22 0.64
  38  1.34 0.79 1.32 0.59
  39  1.38 0.84 1.35 0.59
  40  1.63 0.91 1.09 0.68
  41  1.49 0.88 1.23 0.65
  42  1.36 0.93 1.11 0.58
  43  1.34 0.87 1.24 0.55
  44  1.55 0.77 1.23 0.58
  45  1.64 0.81 1.33 0.57
  46  1.48 0.75 1.33 0.71
  47  1.44 0.88 1.29 0.65
  48  1.56 0.78 1.03 0.72
  49  1.42 0.70 0.79 0.46
  50  1.35 0.76 0.93 0.52
  51  1.32 0.59 0.75 0.54
  52  1.31 0.58 0.73 0.50
[*,*,S2] : Ziemniaki Kapusta Buraki Marchew :=
  1  1.08 0.61 0.85 0.51
  2  1.33 0.62 0.89 0.44
  3  1.20 0.72 0.87 0.53
  4  1.33 0.69 0.73 0.46
  5  1.18 0.62 0.95 0.46
  6  1.42 0.70 0.91 0.48
  7  1.30 0.67 0.76 0.51
  8  1.18 0.58 0.87 0.43
  9  1.44 0.77 0.94 0.46
  10  1.20 1.05 0.96 0.80
  11  1.60 1.03 0.92 0.68
  12  1.56 0.88 0.88 0.72
  13  1.59 0.98 1.00 0.62
  14  1.46 1.06 0.88 0.71
  15  1.57 1.00 1.04 0.75
  16  1.35 0.87 1.07 0.77
  17  1.56 1.04 0.99 0.70
  18  1.53 0.97 1.04 0.77
  19  1.57 0.88 0.95 0.62
  20  1.44 0.80 0.97 0.71
  21  1.32 0.95 0.84 0.61
  22  1.54 0.89 0.87 0.71
  23  1.22 0.54 0.92 0.45
  24  0.98 0.60 0.89 0.53
  25  1.20 0.67 0.89 0.48
  26  1.23 0.55 0.87 0.45
  27  0.97 0.67 0.97 0.54
  28  1.10 0.53 0.79 0.47
  29  1.14 0.63 0.93 0.48
  30  1.28 0.63 0.90 0.53
  31  1.10 0.55 0.85 0.55
  32  0.96 0.52 0.76 0.44
  33  1.25 0.63 0.88 0.45
  34  1.12 0.59 0.80 0.50
  35  1.09 0.61 0.92 0.44
  36  1.49 0.88 1.18 0.71
  37  1.62 0.76 1.03 0.67
  38  1.33 0.87 1.33 0.65
  39  1.50 0.88 1.16 0.65
  40  1.75 0.81 1.34 0.72
  41  1.41 0.73 1.04 0.55
  42  1.36 0.89 1.03 0.61
  43  1.71 0.72 1.29 0.60
  44  1.37 0.89 1.22 0.71
  45  1.66 0.92 1.10 0.58
  46  1.67 0.92 1.35 0.62
  47  1.49 0.91 1.12 0.72
  48  1.72 0.83 1.27 0.69
  49  1.12 0.76 0.84 0.53
  50  1.20 0.76 0.81 0.41
  51  1.42 0.59 0.79 0.54
  52  1.44 0.69 0.87 0.47
[*,*,S3] : Ziemniaki Kapusta Buraki Marchew :=
  1  1.19 0.64 0.88 0.52
  2  1.38 0.73 0.73 0.48
  3  1.10 0.68 0.82 0.54
  4  1.21 0.60 0.75 0.52
  5  1.31 0.59 0.73 0.51
  6  1.11 0.74 0.89 0.42
  7  1.11 0.77 0.80 0.46
  8  1.39 0.77 0.96 0.52
  9  1.22 0.59 0.90 0.49
  10  1.38 1.04 0.87 0.70
  11  1.20 0.92 0.85 0.62
  12  1.25 0.97 1.05 0.72
  13  1.60 0.89 0.92 0.78
  14  1.29 1.06 0.84 0.80
  15  1.22 1.04 0.99 0.81
  16  1.23 0.94 1.12 0.71
  17  1.46 0.98 0.97 0.73
  18  1.44 1.04 0.85 0.66
  19  1.60 1.04 0.97 0.73
  20  1.31 0.84 0.97 0.67
  21  1.44 0.81 1.12 0.81
  22  1.49 0.94 0.93 0.77
  23  1.19 0.53 0.99 0.56
  24  1.28 0.63 0.91 0.50
  25  1.27 0.66 0.76 0.44
  26  1.09 0.65 1.01 0.46
  27  1.16 0.57 1.01 0.56
  28  1.24 0.59 0.86 0.48
  29  0.98 0.66 0.97 0.59
  30  1.29 0.60 0.95 0.58
  31  1.24 0.55 0.87 0.46
  32  1.28 0.61 0.81 0.54
  33  1.17 0.57 0.78 0.54
  34  1.13 0.64 0.89 0.57
  35  1.14 0.60 0.98 0.50
  36  1.38 0.72 1.27 0.66
  37  1.64 0.77 1.05 0.55
  38  1.48 0.87 1.14 0.63
  39  1.74 0.81 1.18 0.69
  40  1.50 0.87 1.31 0.73
  41  1.39 0.95 1.18 0.59
  42  1.53 0.97 1.18 0.61
  43  1.61 0.78 1.03 0.57
  44  1.38 0.76 1.05 0.67
  45  1.40 0.80 1.32 0.64
  46  1.63 0.76 1.07 0.55
  47  1.40 0.79 1.06 0.56
  48  1.37 0.83 1.07 0.61
  49  1.27 0.71 0.72 0.52
  50  1.32 0.59 0.93 0.54
  51  1.10 0.63 0.91 0.52
  52  1.15 0.62 0.80 0.48
[*,*,S4] : Ziemniaki Kapusta Buraki Marchew :=
  1  1.31 0.65 0.83 0.52
  2  1.09 0.62 0.89 0.54
  3  1.27 0.68 0.74 0.47
  4  1.28 0.62 0.78 0.46
  5  1.09 0.64 0.76 0.46
  6  1.12 0.75 0.86 0.51
  7  1.38 0.67 0.73 0.49
  8  1.30 0.72 0.82 0.43
  9  1.19 0.65 0.87 0.49
  10  1.35 1.06 1.01 0.65
  11  1.24 0.83 0.91 0.63
  12  1.28 0.87 0.89 0.79
  13  1.23 0.93 0.96 0.81
  14  1.24 0.90 1.12 0.78
  15  1.54 0.86 0.88 0.74
  16  1.59 0.94 1.00 0.66
  17  1.52 0.84 0.93 0.69
  18  1.41 0.86 0.87 0.73
  19  1.32 0.95 0.88 0.70
  20  1.42 0.80 0.93 0.63
  21  1.22 1.06 0.93 0.77
  22  1.30 0.98 1.06 0.72
  23  1.12 0.57 0.84 0.58
  24  1.24 0.67 0.78 0.55
  25  1.27 0.53 0.77 0.55
  26  1.15 0.65 0.79 0.56
  27  1.03 0.53 0.79 0.56
  28  1.18 0.59 0.85 0.57
  29  1.09 0.65 0.87 0.49
  30  1.11 0.56 0.95 0.51
  31  1.04 0.66 0.85 0.52
  32  1.26 0.61 0.78 0.58
  33  1.17 0.56 0.79 0.56
  34  1.17 0.60 0.99 0.56
  35  1.01 0.56 0.82 0.55
  36  1.33 0.86 1.27 0.71
  37  1.48 0.92 1.04 0.71
  38  1.38 0.82 1.28 0.57
  39  1.42 0.90 1.26 0.67
  40  1.64 0.85 1.09 0.61
  41  1.40 0.95 1.21 0.62
  42  1.53 0.96 1.06 0.66
  43  1.55 0.87 1.01 0.71
  44  1.75 0.86 1.25 0.72
  45  1.65 0.76 1.21 0.66
  46  1.51 0.90 1.33 0.72
  47  1.53 0.75 1.35 0.71
  48  1.37 0.95 1.31 0.64
  49  1.30 0.65 0.72 0.46
  50  1.38 0.57 0.79 0.47
  51  1.28 0.76 0.80 0.46
  52  1.36 0.67 0.77 0.47
[*,*,S5] : Ziemniaki Kapusta Buraki Marchew :=
  1  1.13 0.61 0.83 0.47
  2  1.43 0.65 0.85 0.50
  3  1.08 0.71 0.75 0.55
  4  1.13 0.66 0.73 0.55
  5  1.27 0.69 0.73 0.52
  6  1.16 0.76 0.76 0.44
  7  1.09 0.67 0.85 0.42
  8  1.37 0.67 0.84 0.47
  9  1.23 0.69 0.75 0.43
  10  1.56 1.05 0.94 0.66
  11  1.47 0.90 0.84 0.63
  12  1.50 0.97 0.84 0.65
  13  1.29 0.98 0.84 0.62
  14  1.54 0.84 1.03 0.65
  15  1.24 0.86 1.05 0.78
  16  1.55 0.90 1.03 0.64
  17  1.32 1.04 0.84 0.62
  18  1.29 0.80 0.89 0.72
  19  1.38 1.04 1.08 0.67
  20  1.31 0.89 1.01 0.66
  21  1.46 0.90 1.00 0.69
  22  1.32 1.05 1.06 0.63
  23  1.25 0.59 0.99 0.56
  24  1.10 0.51 0.82 0.52
  25  1.17 0.55 0.79 0.56
  26  1.29 0.60 0.80 0.48
  27  0.96 0.66 0.78 0.52
  28  1.05 0.60 0.92 0.56
  29  1.03 0.50 0.79 0.57
  30  1.25 0.61 0.91 0.54
  31  1.02 0.66 0.86 0.49
  32  1.13 0.51 0.80 0.55
  33  0.99 0.61 0.82 0.49
  34  1.06 0.56 0.94 0.48
  35  1.15 0.59 0.93 0.58
  36  1.66 0.77 1.01 0.59
  37  1.59 0.73 1.18 0.66
  38  1.47 0.91 1.04 0.56
  39  1.66 0.84 1.24 0.63
  40  1.43 0.92 1.28 0.68
  41  1.44 0.87 1.13 0.56
  42  1.74 0.75 1.34 0.63
  43  1.40 0.85 1.31 0.68
  44  1.69 0.88 1.25 0.71
  45  1.43 0.84 1.08 0.73
  46  1.76 0.73 1.25 0.72
  47  1.40 0.86 1.32 0.55
  48  1.64 0.79 1.33 0.73
  49  1.44 0.67 0.93 0.53
  50  1.20 0.74 0.72 0.49
  51  1.16 0.60 0.73 0.51
  52  1.21 0.72 0.73 0.45
[*,*,S6] : Ziemniaki Kapusta Buraki Marchew :=
  1  1.28 0.73 0.79 0.50
  2  1.41 0.70 0.77 0.41
  3  1.41 0.58 0.93 0.48
  4  1.43 0.74 0.96 0.46
  5  1.37 0.66 0.83 0.50
  6  1.41 0.77 0.90 0.47
  7  1.24 0.72 0.77 0.42
  8  1.21 0.63 0.78 0.44
  9  1.09 0.58 0.96 0.47
  10  1.36 0.98 0.90 0.80
  11  1.53 0.81 0.96 0.78
  12  1.60 0.92 1.02 0.63
  13  1.62 0.85 1.11 0.74
  14  1.45 0.93 0.90 0.64
  15  1.29 0.84 1.06 0.67
  16  1.22 1.06 1.09 0.79
  17  1.62 0.84 0.95 0.76
  18  1.49 0.83 1.07 0.65
  19  1.29 0.94 1.01 0.72
  20  1.24 1.03 0.91 0.63
  21  1.57 1.05 1.09 0.77
  22  1.47 0.94 0.86 0.68
  23  1.08 0.55 0.94 0.51
  24  0.99 0.54 0.93 0.45
  25  1.25 0.59 0.88 0.53
  26  1.24 0.56 0.93 0.52
  27  1.05 0.66 0.96 0.54
  28  1.25 0.66 0.94 0.56
  29  1.19 0.62 0.91 0.55
  30  1.01 0.66 0.98 0.44
  31  1.24 0.52 0.84 0.55
  32  1.01 0.65 0.97 0.51
  33  0.96 0.55 0.91 0.59
  34  1.17 0.55 0.92 0.52
  35  1.22 0.52 0.95 0.52
  36  1.76 0.80 1.22 0.72
  37  1.36 0.95 1.24 0.56
  38  1.46 0.90 1.03 0.66
  39  1.48 0.87 1.02 0.71
  40  1.77 0.96 1.27 0.57
  41  1.67 0.72 1.01 0.61
  42  1.54 0.91 1.24 0.63
  43  1.44 0.97 1.15 0.63
  44  1.39 0.92 1.25 0.59
  45  1.36 0.89 1.23 0.60
  46  1.76 0.76 1.15 0.73
  47  1.51 0.88 1.14 0.60
  48  1.77 0.82 1.32 0.59
  49  1.16 0.58 0.87 0.46
  50  1.41 0.67 0.95 0.43
  51  1.41 0.73 0.90 0.53
  52  1.37 0.70 0.74 0.41
[*,*,S7] : Ziemniaki Kapusta Buraki Marchew :=
  1  1.43 0.70 0.91 0.48
  2  1.12 0.60 0.88 0.47
  3  1.15 0.67 0.73 0.49
  4  1.18 0.74 0.79 0.47
  5  1.08 0.59 0.81 0.48
  6  1.31 0.63 0.88 0.53
  7  1.37 0.58 0.83 0.42
  8  1.17 0.77 0.74 0.48
  9  1.31 0.72 0.85 0.41
  10  1.34 0.93 0.86 0.67
  11  1.21 0.81 0.95 0.63
  12  1.44 0.98 1.07 0.64
